term,material_system,mode,k,status,pre_count,post_count,overlap_count,jaccard,pre_neighbors,post_neighbors,shared_neighbors
build,short_fiber_composite,common_vocab,10,compared,25165,38380,4,0.25,construction; core; create; apply; comprise; design; develop; introduce; manufacture; make,design; manufacture; building; construction; fabricate; construct; create; 3d_print; direction; customize,construction; create; design; manufacture
build,short_fiber_composite,common_vocab,20,compared,25165,38380,11,0.3793103448275862,construction; core; create; apply; comprise; design; develop; introduce; manufacture; make; generate; construct; consist; fabricate; utilize; mention; compose; manner; employ; assembly,design; manufacture; building; construction; fabricate; construct; create; 3d_print; direction; customize; manufactured; additive_manufacture; make; apply; connect; system; generate; core; dimension; develop,apply; construct; construction; core; create; design; develop; fabricate; generate; make; manufacture
chameleon,structural_color_composite,common_vocab,5,compared,117,176,0,0.0,hidex; brilliant; lifelike; sapphire_laser; artis,color_matching; chromatic; color; cephalopod; multicolore,
chameleon,structural_color_composite,common_vocab,10,compared,117,176,0,0.0,hidex; brilliant; lifelike; sapphire_laser; artis; translucence; metameric; looking; excitation_wavelength; photostabilitie,color_matching; chromatic; color; cephalopod; multicolore; reflective; colour; multicolor; chroma; iridescent,
chameleon,structural_color_composite,common_vocab,20,compared,117,176,2,0.05263157894736842,hidex; brilliant; lifelike; sapphire_laser; artis; translucence; metameric; looking; excitation_wavelength; photostabilitie; emission_wavelength; lighting; perception; aesthetic_appearance; ceramx; opalescence; iridescence; metamerism; morpho_butterfly; colour,color_matching; chromatic; color; cephalopod; multicolore; reflective; colour; multicolor; chroma; iridescent; beautiful; creature; multimode; flying; iridescence; beetle; palette; hiding; translucent; reflectance,colour; iridescence
color,structural_color_composite,common_vocab,5,compared,62945,69834,3,0.42857142857142855,colour; shade; translucency; discoloration; cie_l*a*b,shade; colour; translucency; cielab; cielab_color,colour; shade; translucency
color,structural_color_composite,common_vocab,10,compared,62945,69834,7,0.5384615384615384,colour; shade; translucency; discoloration; cie_l*a*b; lightness; color_matching; opacity; cielab_color; colorimeter,shade; colour; translucency; cielab; cielab_color; perceptible_color; color_matching; discoloration; l*a*b; lightness,cielab_color; color_matching; colour; discoloration; lightness; shade; translucency
color,structural_color_composite,common_vocab,20,compared,62945,69834,12,0.42857142857142855,colour; shade; translucency; discoloration; cie_l*a*b; lightness; color_matching; opacity; cielab_color; colorimeter; l*a*b; cielab; perceptible_color; esthetic_restorative; l*a*b_color; change; hue_chroma; translucent; cie; chromatic,shade; colour; translucency; cielab; cielab_color; perceptible_color; color_matching; discoloration; l*a*b; lightness; cie_lab; composite; hue; perceptibility_acceptability; cie_l*a*b; chromatic; cielab_coordinate; esthetic; shade_matching; colored,chromatic; cie_l*a*b; cielab; cielab_color; color_matching; colour; discoloration; l*a*b; lightness; perceptible_color; shade; translucency
color_matching,structural_color_composite,common_vocab,5,compared,555,563,3,0.42857142857142855,shade_matching; shade_selection; shade_guide; colour_matching; shade_tab,shade_matching; shade_selection; shade; color; shade_guide,shade_guide; shade_matching; shade_selection
color_matching,structural_color_composite,common_vocab,10,compared,555,563,7,0.5384615384615384,shade_matching; shade_selection; shade_guide; colour_matching; shade_tab; color; illuminant; cielab; vitapan_classical; shade_taking,shade_matching; shade_selection; shade; color; shade_guide; shade_tab; visual_instrumental; translucency; colour_matching; cielab,cielab; color; colour_matching; shade_guide; shade_matching; shade_selection; shade_tab
color_matching,structural_color_composite,common_vocab,20,compared,555,563,15,0.6,shade_matching; shade_selection; shade_guide; colour_matching; shade_tab; color; illuminant; cielab; vitapan_classical; shade_taking; spectrophotometer_colorimeter; colorimeter; visual_instrumental; shade; translucency; metamerism; visual_perception; cielab_color; vita_shade; esthetic_restorative,shade_matching; shade_selection; shade; color; shade_guide; shade_tab; visual_instrumental; translucency; colour_matching; cielab; vita_shade; vitapan_classical; masking_ability; spectral_reflectance; metamerism; esthetic; vita_classical; cielab_color; vita_easyshade; spectrophotometer_colorimeter,cielab; cielab_color; color; colour_matching; metamerism; shade; shade_guide; shade_matching; shade_selection; shade_tab; spectrophotometer_colorimeter; translucency; visual_instrumental; vita_shade; vitapan_classical
composite,short_fiber_composite;structural_color_composite,common_vocab,5,compared,285634,297866,4,0.6666666666666666,resin; material; restorative; restoration; base,resin; material; restorative; ceramic; restoration,material; resin; restoration; restorative
composite,short_fiber_composite;structural_color_composite,common_vocab,10,compared,285634,297866,7,0.5384615384615384,resin; material; restorative; restoration; base; dent_mater; ceramic; study; system; hybrid,resin; material; restorative; ceramic; restoration; cad_cam; base; dent_mater; filler; flowable_composite,base; ceramic; dent_mater; material; resin; restoration; restorative
composite,short_fiber_composite;structural_color_composite,common_vocab,20,compared,285634,297866,16,0.6666666666666666,resin; material; restorative; restoration; base; dent_mater; ceramic; study; system; hybrid; different; cure; filler; light_cure; flowable_resin; flowable_composite; adhesive; effect; property; type,resin; material; restorative; ceramic; restoration; cad_cam; base; dent_mater; filler; flowable_composite; property; bulk; adhesive; different; study; surface; effect; nanofilled; cure; flowable_resin,adhesive; base; ceramic; cure; dent_mater; different; effect; filler; flowable_composite; flowable_resin; material; property; resin; restoration; restorative; study
contrast,zirconia,common_vocab,5,compared,110562,121268,2,0.25,whereas; moreover; furthermore; clearly; similarly,whereas; however; although; moreover; addition,moreover; whereas
contrast,zirconia,common_vocab,10,compared,110562,121268,6,0.42857142857142855,whereas; moreover; furthermore; clearly; similarly; similar; although; appear; exhibit; slightly,whereas; however; although; moreover; addition; observe; similar; exhibit; less; furthermore,although; exhibit; furthermore; moreover; similar; whereas
contrast,zirconia,common_vocab,20,compared,110562,121268,15,0.6,whereas; moreover; furthermore; clearly; similarly; similar; although; appear; exhibit; slightly; relatively; observe; demonstrate; however; suggest; even; reveal; find; unlike; less,whereas; however; although; moreover; addition; observe; similar; exhibit; less; furthermore; reveal; compare; relatively; even; suggest; slightly; much; high; demonstrate; additionally,although; demonstrate; even; exhibit; furthermore; however; less; moreover; observe; relatively; reveal; similar; slightly; suggest; whereas
conventional,structural_color_composite,common_vocab,5,compared,65199,78540,5,1.0,base; method; system; traditional; technique,base; technique; traditional; system; method,base; method; system; technique; traditional
conventional,structural_color_composite,common_vocab,10,compared,65199,78540,6,0.42857142857142855,base; method; system; traditional; technique; compare; employ; use; however; low,base; technique; traditional; system; method; different; bulk; compare; material; conventionally,base; compare; method; system; technique; traditional
conventional,structural_color_composite,common_vocab,20,compared,65199,78540,12,0.42857142857142855,base; method; system; traditional; technique; compare; employ; use; however; low; material; type; high; different; produce; hand; combination; result; commercially_available; application,base; technique; traditional; system; method; different; bulk; compare; material; conventionally; alternative; low; composite; comparison; various; resin; fabricate; high; use; however,base; compare; different; high; however; low; material; method; system; technique; traditional; use
core,short_fiber_composite,common_vocab,5,compared,89181,69822,1,0.1111111111111111,post; build; crown; veneer; ceramic_crown,post; base; fiber; part; system,post
core,short_fiber_composite,common_vocab,10,compared,89181,69822,3,0.17647058823529413,post; build; crown; veneer; ceramic_crown; restoration; strength; prefabricated; restore; fiber,post; base; fiber; part; system; inner; resin; composite; strength; lute_cement,fiber; post; strength
core,short_fiber_composite,common_vocab,20,compared,89181,69822,9,0.2903225806451613,post; build; crown; veneer; ceramic_crown; restoration; strength; prefabricated; restore; fiber; fracture; material; dowel; ceramic; prefabricate_post; design; lute; stress; system; composite,post; base; fiber; part; system; inner; resin; composite; strength; lute_cement; flare_root; material; shell; crown; intraradicular_post; single; veneer; build; postcore; glass,build; composite; crown; fiber; material; post; strength; system; veneer
core_shell,structural_color_composite,common_vocab,5,compared,12192,17765,1,0.1111111111111111,coreshell; shell; nanocrystal; core/_shell; core_multishell,coreshell; yolk_shell; core@shell; nanosphere; nanorod,coreshell
core_shell,structural_color_composite,common_vocab,10,compared,12192,17765,5,0.3333333333333333,coreshell; shell; nanocrystal; core/_shell; core_multishell; nanowire; yolk_shell; cdse; cdse_cds; nanoparticle,coreshell; yolk_shell; core@shell; nanosphere; nanorod; shell; hollow; core/_shell; monodispersed; nanoparticle,core/_shell; coreshell; nanoparticle; shell; yolk_shell
core_shell,structural_color_composite,common_vocab,20,compared,12192,17765,9,0.2903225806451613,coreshell; shell; nanocrystal; core/_shell; core_multishell; nanowire; yolk_shell; cdse; cdse_cds; nanoparticle; nanostructure; nanosphere; hollow_nanosphere; ag@sio2; nanorattle; bimetallic; core_sheath; heterostructured; qd; monodisperse,coreshell; yolk_shell; core@shell; nanosphere; nanorod; shell; hollow; core/_shell; monodispersed; nanoparticle; nanocrystal; coaxial_electrospinning; hollow_nanosphere; nanostructure; decorate; nanocube; coaxial_electrospinne; multishell; mesoporous; hollow_sphere,core/_shell; coreshell; hollow_nanosphere; nanocrystal; nanoparticle; nanosphere; nanostructure; shell; yolk_shell
crack_bridging,short_fiber_composite,common_vocab,5,compared,309,291,4,0.6666666666666666,crack_deflection; toughening_mechanism; toughening; toughen_mechanism; uncracked_ligament,crack_deflection; toughening_mechanism; extrinsic_toughening; toughen_mechanism; toughening,crack_deflection; toughen_mechanism; toughening; toughening_mechanism
crack_bridging,short_fiber_composite,common_vocab,10,compared,309,291,8,0.6666666666666666,crack_deflection; toughening_mechanism; toughening; toughen_mechanism; uncracked_ligament; crack_wake; extrinsic_toughening; crack_blunting; crack_propagation; microcracking,crack_deflection; toughening_mechanism; extrinsic_toughening; toughen_mechanism; toughening; uncracked_ligament; crack_propagation; crack_propagate; tortuous_crack; crack_wake,crack_deflection; crack_propagation; crack_wake; extrinsic_toughening; toughen_mechanism; toughening; toughening_mechanism; uncracked_ligament
crack_bridging,short_fiber_composite,common_vocab,20,compared,309,291,17,0.7391304347826086,crack_deflection; toughening_mechanism; toughening; toughen_mechanism; uncracked_ligament; crack_wake; extrinsic_toughening; crack_blunting; crack_propagation; microcracking; crack_propagate; toughen; microcracke; tortuous_crack; microcrack; crack_tip; ahead_crack; toughness; r_-curve; crack,crack_deflection; toughening_mechanism; extrinsic_toughening; toughen_mechanism; toughening; uncracked_ligament; crack_propagation; crack_propagate; tortuous_crack; crack_wake; microcrack; microcracking; toughen; crack_tip; microcracke; crack; crack_initiation; crack_blunting; fracture_toughness; bouligand_structure,crack; crack_blunting; crack_deflection; crack_propagate; crack_propagation; crack_tip; crack_wake; extrinsic_toughening; microcrack; microcracke; microcracking; tortuous_crack; toughen; toughen_mechanism; toughening; toughening_mechanism; uncracked_ligament
crack_propagation,short_fiber_composite,common_vocab,5,compared,6902,8932,4,0.6666666666666666,crack_propagate; crack_initiation; crack; crack_tip; fatigue_crack,crack_initiation; crack_propagate; crack; crack_deflection; crack_tip,crack; crack_initiation; crack_propagate; crack_tip
crack_propagation,short_fiber_composite,common_vocab,10,compared,6902,8932,8,0.6666666666666666,crack_propagate; crack_initiation; crack; crack_tip; fatigue_crack; crack_deflection; microcrack; brittle_fracture; cracking; ahead_crack,crack_initiation; crack_propagate; crack; crack_deflection; crack_tip; brittle_fracture; microcrack; toughening_mechanism; fatigue_crack; toughen_mechanism,brittle_fracture; crack; crack_deflection; crack_initiation; crack_propagate; crack_tip; fatigue_crack; microcrack
crack_propagation,short_fiber_composite,common_vocab,20,compared,6902,8932,13,0.48148148148148145,crack_propagate; crack_initiation; crack; crack_tip; fatigue_crack; crack_deflection; microcrack; brittle_fracture; cracking; ahead_crack; fracture_mechanic; fracture_toughness; brittle; crack_bridging; catastrophic_failure; catastrophic_fracture; fracture; crack_wake; toughness; intergranular_fracture,crack_initiation; crack_propagate; crack; crack_deflection; crack_tip; brittle_fracture; microcrack; toughening_mechanism; fatigue_crack; toughen_mechanism; catastrophic_failure; crack_bridging; tortuous_crack; brittle; fracture; fracture_toughness; microcracking; toughening; plastic_deformation; initiation_propagation,brittle; brittle_fracture; catastrophic_failure; crack; crack_bridging; crack_deflection; crack_initiation; crack_propagate; crack_tip; fatigue_crack; fracture; fracture_toughness; microcrack
cubic,zirconia,common_vocab,5,compared,36768,29351,5,1.0,tetragonal; cubic_tetragonal; orthorhombic; rhombohedral; hexagonal,tetragonal; orthorhombic; hexagonal; rhombohedral; cubic_tetragonal,cubic_tetragonal; hexagonal; orthorhombic; rhombohedral; tetragonal
cubic,zirconia,common_vocab,10,compared,36768,29351,6,0.42857142857142855,tetragonal; cubic_tetragonal; orthorhombic; rhombohedral; hexagonal; trigonal; pm_̄3; cubic_fcc; lattice; cubic_bcc,tetragonal; orthorhombic; hexagonal; rhombohedral; cubic_tetragonal; cubic_fcc; monoclinic; tetragonal_bct; tetragonal_cubic; fcc,cubic_fcc; cubic_tetragonal; hexagonal; orthorhombic; rhombohedral; tetragonal
cubic,zirconia,common_vocab,20,compared,36768,29351,10,0.3333333333333333,tetragonal; cubic_tetragonal; orthorhombic; rhombohedral; hexagonal; trigonal; pm_̄3; cubic_fcc; lattice; cubic_bcc; tetragonal_distortion; distorted; aristotype; fm_̄3; pseudocubic; crystallize_cubic; tetragonally; pseudo_cubic; cubic_fluorite; monoclinic,tetragonal; orthorhombic; hexagonal; rhombohedral; cubic_tetragonal; cubic_fcc; monoclinic; tetragonal_bct; tetragonal_cubic; fcc; cubic_bcc; trigonal; orthorhombic_tetragonal; cubic_pm-3; tetragonal_i41; tetragonally_distort; crystallize_cubic; rhombohedrally_distort; orthorhombic_pnma; wurtzite,crystallize_cubic; cubic_bcc; cubic_fcc; cubic_tetragonal; hexagonal; monoclinic; orthorhombic; rhombohedral; tetragonal; trigonal
deflection,short_fiber_composite,common_vocab,5,compared,10231,8328,1,0.1111111111111111,bend; bending; deflection_cantilever; flexural; cantilever,flexure; bend; mid_span; deflect; displacement,bend
deflection,short_fiber_composite,common_vocab,10,compared,10231,8328,7,0.5384615384615384,bend; bending; deflection_cantilever; flexural; cantilever; deflect; flexure; displacement; cantilever_deflection; force,flexure; bend; mid_span; deflect; displacement; bending; flexural; force; euler_bernoulli; midspan,bend; bending; deflect; displacement; flexural; flexure; force
deflection,short_fiber_composite,common_vocab,20,compared,10231,8328,12,0.42857142857142855,bend; bending; deflection_cantilever; flexural; cantilever; deflect; flexure; displacement; cantilever_deflection; force; mid_span; elastic_modulus; deformation; load; modulus_elasticity; elastic; flexural_strength; threepoint_bending; point; loaddisplacement_curve,flexure; bend; mid_span; deflect; displacement; bending; flexural; force; euler_bernoulli; midspan; cantilever; radius_curvature; buckling; deflection_cantilever; cantilever_deflection; pull; indentation; unnotched; deformation; ultimate,bend; bending; cantilever; cantilever_deflection; deflect; deflection_cantilever; deformation; displacement; flexural; flexure; force; mid_span
diffraction,structural_color_composite,common_vocab,5,compared,56431,45263,3,0.42857142857142855,diffraction_pattern; x_ray; xrd; diffraction_xrd; diffractometry,diffraction_pattern; xrd; 2θ; x_ray; diffractogram,diffraction_pattern; x_ray; xrd
diffraction,structural_color_composite,common_vocab,10,compared,56431,45263,7,0.5384615384615384,diffraction_pattern; x_ray; xrd; diffraction_xrd; diffractometry; diffractogram; xrd_pattern; diffractometer; 2θ; synchrotron,diffraction_pattern; xrd; 2θ; x_ray; diffractogram; bragg; bragg_reflection; xrd_pattern; diffraction_xrd; diffrac_tion,2θ; diffraction_pattern; diffraction_xrd; diffractogram; x_ray; xrd; xrd_pattern
diffraction,structural_color_composite,common_vocab,20,compared,56431,45263,12,0.42857142857142855,diffraction_pattern; x_ray; xrd; diffraction_xrd; diffractometry; diffractogram; xrd_pattern; diffractometer; 2θ; synchrotron; diffrac_tion; rietveld_refinement; bragg_reflection; diffractometer_monochromatic; rietveld; diffract; xrd-6000_shimadzu; neutron_diffraction; reflection; debye_scherrer,diffraction_pattern; xrd; 2θ; x_ray; diffractogram; bragg; bragg_reflection; xrd_pattern; diffraction_xrd; diffrac_tion; diffract; jcpds; 2y; bragg_peak; jcpds_file; jcpds_card; rietveld; xrd_diffractogram; rietveld_refinement; diffraction_pxrd,2θ; bragg_reflection; diffrac_tion; diffract; diffraction_pattern; diffraction_xrd; diffractogram; rietveld; rietveld_refinement; x_ray; xrd; xrd_pattern
energy,short_fiber_composite,common_vocab,5,compared,610917,502509,4,0.6666666666666666,ev; energetic; ev.; state; ergy,energetic; ev.; ev; state; electron,energetic; ev; ev.; state
energy,short_fiber_composite,common_vocab,10,compared,610917,502509,6,0.42857142857142855,ev; energetic; ev.; state; ergy; energie; ∆e; free; respect; mev,energetic; ev.; ev; state; electron; electronic; mev.; energie; mev; highenergy,energetic; energie; ev; ev.; mev; state
energy,short_fiber_composite,common_vocab,20,compared,610917,502509,10,0.3333333333333333,ev; energetic; ev.; state; ergy; energie; ∆e; free; respect; mev; electron; ∆e.; note; 5mev; mev.; total; work; correspond; ener_gy; en_ergy,energetic; ev.; ev; state; electron; electronic; mev.; energie; mev; highenergy; photon; energies; ergy; mev_mev; power; calculation; hydrogen; joule; small; en_ergy,electron; en_ergy; energetic; energie; ergy; ev; ev.; mev; mev.; state
everx,short_fiber_composite,common_vocab,5,compared,84,95,1,0.1111111111111111,everx_posterior; universal_flo; z250; frc_everstick; unidirectional_frc,everx_posterior; sculptable; flowable; g_ænial; packable,everx_posterior
everx,short_fiber_composite,common_vocab,10,compared,84,95,3,0.17647058823529413,everx_posterior; universal_flo; z250; frc_everstick; unidirectional_frc; everstick_c&b; g_ænial; everstick; filtek; filtek_z250,everx_posterior; sculptable; flowable; g_ænial; packable; filtek; plus_f00; sfrc; microhybrid; g_aenial,everx_posterior; filtek; g_ænial
everx,short_fiber_composite,common_vocab,20,compared,84,95,5,0.14285714285714285,everx_posterior; universal_flo; z250; frc_everstick; unidirectional_frc; everstick_c&b; g_ænial; everstick; filtek; filtek_z250; ribbond; fill_flowable; quixfil; admira_fusion; tetric_evoceram; z2a; grandioso; filtek_supreme; stick_tech; frc,everx_posterior; sculptable; flowable; g_ænial; packable; filtek; plus_f00; sfrc; microhybrid; g_aenial; fill_flowable; flowable_composite; unifil_flow; nanofill; fbf; cerasmart; herculite_xrv; microhybrid_composite; flowable_resin; frc_everstick,everx_posterior; fill_flowable; filtek; frc_everstick; g_ænial
filler,structural_color_composite,common_vocab,5,compared,45145,40892,3,0.42857142857142855,inorganic_filler; barium_glass; microfiller; nanofiller; prepolymerize_filler,inorganic_filler; nanofiller; composite; barium_glass; monomer,barium_glass; inorganic_filler; nanofiller
filler,structural_color_composite,common_vocab,10,compared,45145,40892,7,0.5384615384615384,inorganic_filler; barium_glass; microfiller; nanofiller; prepolymerize_filler; composite; particle; udma_tegdma; resin; microfill,inorganic_filler; nanofiller; composite; barium_glass; monomer; resin; prepolymerize_filler; bis_gma; tegdma; udma_tegdma,barium_glass; composite; inorganic_filler; nanofiller; prepolymerize_filler; resin; udma_tegdma
filler,structural_color_composite,common_vocab,20,compared,45145,40892,13,0.48148148148148145,inorganic_filler; barium_glass; microfiller; nanofiller; prepolymerize_filler; composite; particle; udma_tegdma; resin; microfill; prepolymerize; microfille; microfille_composite; udma; silanate_barium; silica; tegdma; bis_gma; microhybrid; urethane_dimethacrylate,inorganic_filler; nanofiller; composite; barium_glass; monomer; resin; prepolymerize_filler; bis_gma; tegdma; udma_tegdma; nanofilled; silica; udma; particle; matrix; udma_bis; microfiller; wt%; material; dimethacrylate,barium_glass; bis_gma; composite; inorganic_filler; microfiller; nanofiller; particle; prepolymerize_filler; resin; silica; tegdma; udma; udma_tegdma
fracture,short_fiber_composite,common_vocab,5,compared,100148,97474,3,0.42857142857142855,failure; catastrophic_fracture; fatigue; fractured; fractographic_analysis,failure; fractured; catastrophic_fracture; catastrophic_failure; debonding,catastrophic_fracture; failure; fractured
fracture,short_fiber_composite,common_vocab,10,compared,100148,97474,8,0.6666666666666666,failure; catastrophic_fracture; fatigue; fractured; fractographic_analysis; catastrophic_failure; crack_propagation; crack; debonding; brittle_fracture,failure; fractured; catastrophic_fracture; catastrophic_failure; debonding; fractographic_analysis; crack_propagation; debonde; facture; crack,catastrophic_failure; catastrophic_fracture; crack; crack_propagation; debonding; failure; fractographic_analysis; fractured
fracture,short_fiber_composite,common_vocab,20,compared,100148,97474,16,0.6666666666666666,failure; catastrophic_fracture; fatigue; fractured; fractographic_analysis; catastrophic_failure; crack_propagation; crack; debonding; brittle_fracture; strength; facture; stress; fractography; load; chipping; crack_initiation; cyclic_loading; fracture_toughness; crack_propagate,failure; fractured; catastrophic_fracture; catastrophic_failure; debonding; fractographic_analysis; crack_propagation; debonde; facture; crack; crack_initiation; chipping; crown; fatigue; brittle_fracture; fractography; stress; fractographic; strength; repairable_fracture,brittle_fracture; catastrophic_failure; catastrophic_fracture; chipping; crack; crack_initiation; crack_propagation; debonding; facture; failure; fatigue; fractographic_analysis; fractography; fractured; strength; stress
fracture_toughness,zirconia;short_fiber_composite,common_vocab,5,compared,14578,14954,4,0.6666666666666666,kic; toughness; crack_propagation; flexural_strength; mpa√m,kic; toughness; flexural_strength; mpa_m1/2; crack_propagation,crack_propagation; flexural_strength; kic; toughness
fracture_toughness,zirconia;short_fiber_composite,common_vocab,10,compared,14578,14954,5,0.3333333333333333,kic; toughness; crack_propagation; flexural_strength; mpa√m; strength; fracture_mechanic; k1c; fatigue; toughening,kic; toughness; flexural_strength; mpa_m1/2; crack_propagation; hardness; toughening; mpa.m; toughening_mechanism; mpa·m,crack_propagation; flexural_strength; kic; toughening; toughness
fracture_toughness,zirconia;short_fiber_composite,common_vocab,20,compared,14578,14954,9,0.2903225806451613,kic; toughness; crack_propagation; flexural_strength; mpa√m; strength; fracture_mechanic; k1c; fatigue; toughening; sevnb; fractography; flexure_strength; chevron_notch; fracture; precracke; crack_deflection; brittle; anstis; precrack,kic; toughness; flexural_strength; mpa_m1/2; crack_propagation; hardness; toughening; mpa.m; toughening_mechanism; mpa·m; fracture_mechanic; toughen_mechanism; vickers_hardness; strength; flexural; mpa·m1/2; sevnb; crack_deflection; vickers_indentation; crack_initiation,crack_deflection; crack_propagation; flexural_strength; fracture_mechanic; kic; sevnb; strength; toughening; toughness
fully,zirconia,common_vocab,5,compared,42038,51172,3,0.42857142857142855,completely; partially; entirely; totally; still,completely; partially; remain; yet; entirely,completely; entirely; partially
fully,zirconia,common_vocab,10,compared,42038,51172,9,0.8181818181818182,completely; partially; entirely; totally; still; able; yet; instead; initially; already,completely; partially; remain; yet; entirely; able; still; instead; initially; totally,able; completely; entirely; initially; instead; partially; still; totally; yet
fully,zirconia,common_vocab,20,compared,42038,51172,12,0.42857142857142855,completely; partially; entirely; totally; still; able; yet; instead; initially; already; nevertheless; remain; highly; even_though; indeed; effectively; essentially; thus; even; additionally,completely; partially; remain; yet; entirely; able; still; instead; initially; totally; already; properly; rather; sufficient; easily; sufficiently; hence; extend; even; complete,able; already; completely; entirely; even; initially; instead; partially; remain; still; totally; yet
glass,short_fiber_composite,common_vocab,5,compared,149848,109869,3,0.42857142857142855,fiber; ceramic; reinforce; silica; borosilicate_glass,ceramic; borosilicate_glass; composite; soda_lime; silica,borosilicate_glass; ceramic; silica
glass,short_fiber_composite,common_vocab,10,compared,149848,109869,8,0.6666666666666666,fiber; ceramic; reinforce; silica; borosilicate_glass; composite; material; resin; soda_lime; silanize,ceramic; borosilicate_glass; composite; soda_lime; silica; fiber; glass_ceramics; silicate; resin; material,borosilicate_glass; ceramic; composite; fiber; material; resin; silica; soda_lime
glass,short_fiber_composite,common_vocab,20,compared,149848,109869,14,0.5384615384615384,fiber; ceramic; reinforce; silica; borosilicate_glass; composite; material; resin; soda_lime; silanize; base; fiber_reinforce; leucite_reinforce; silanate; silicate; aluminum; alumina; reinforcement; glassceramic; glass_ceramics,ceramic; borosilicate_glass; composite; soda_lime; silica; fiber; glass_ceramics; silicate; resin; material; base; boro_silicate; filler; lithium_disilicate; polymer; silanate; fiber_reinforce; feldspathic_porcelain; glassceramic; glassy,base; borosilicate_glass; ceramic; composite; fiber; fiber_reinforce; glass_ceramics; glassceramic; material; resin; silanate; silica; silicate; soda_lime
